id,start,start_id,end,end_id,lat,lng,route_id_id
107,Ribda Railway Station,1340,Gondal Chowk (RMTS),1310,22.24304,70.79998,130
108,H.N.Shukla College,246,Light House (Raiya),352,22.303801,70.736504,40
109,Bhaktinagar Station,1096,District and Sessions court,1355,22.329916,70.756447,133
110,matru darshan School,1330,Indraprasth Society /Morby Road crossing,1315,22.325714,70.820381,127
111,Government Engineering College,1223,Greenland Chowk,1112,22.31159,70.828644,120
112,Arpit eng. Collage (Hadala Gam),482,Trikon baug,21,22.295,70.801697,70
113,Prajapati Chowk,1129,Mahika village,1158,22.272648,70.880409,108
114,Punit Nagar (jetco 66 k.v.a.),317,Ghanteshvar S.R.P. Camp (G company),229,22.330099,70.737,76
115,Shapar Veraval,0,Ghanteshvar S.R.P. Camp,230,22.3251,70.7444,22
116,Trikon baug,21,Government Engineering College,517,22.2446,70.742996,85
117,Shapar Veraval,0,Trikon baug,21,22.295,70.801697,0
118,Jivraj Park,281,Gujarat Housing Board Quarter/ Sagar chowk,335,22.292801,70.8321,38
119,Trikon baug,21,Tramba Village,132,22.2281,70.910797,67
120,Ajidam,146,G.I.D.C. Gate 3,90,22.246799,70.673599,17
121,H.N.Shukla College,246,Pradhanmantri Avash Yojna,275,22.240601,70.784203,28
122,Bhaktinagar Circle,42,BajrangWadi circle,398,22.3176,70.779999,95
123,huseni chawk (kothariya),77,Anandpar Gam,53,22.316299,70.839302,5
124,Trikon baug,21,Trikon baug,21,22.295,70.801697,42
125,Raiyadhar Slum Quarter,1192,Trikon baug,1038,22.29497,70.801689,115
126,G.I.D.C. Gate 3,90,Ajidam,146,22.277901,70.835899,16
127,150 feet road crossing - kalawad road,1056,Arpit eng. Collage (Hadala Gam),1127,22.435471,70.781578,106
128,Puneetnagar Main Road,1533,Silverpark -B Street No.-4,1553,22.338139,70.822273,156
129,Radha Park (Kotharia Gam),504,Ghanteshvar S.R.P. Camp (Main Gate),511,22.3302,70.736702,78
130,Swati Park,86,Anandpar Gam,53,22.316299,70.839302,7
131,Om Residency (Morbi road Crosing),481,Akshar Vatika(Mavadi),460,22.2661,70.770203,65
132,Tramba Village,132,Parsananagar,370,22.318001,70.795799,45
133,Saurashtra University,121,Tramba Village,132,22.2281,70.910797,13
134,Criste collage,387,H.N.Shukla College,246,22.295,70.860603,47
135,Jivraj Park,281,131 slum quater.,179,22.314199,70.795403,32
136,G.I.D.C. Gate 3,90,Ajidam,146,22.277901,70.835899,74
137,Ajidam,146,shree ram hospital(metoda),162,22.227501,70.677498,15
138,Government Engineering College,1223,Kothariya Gam,1016,22.23411,70.817619,118
139,Madhapar Chowk (BRTS),1570,Gondal Chowk (RMTS),9,22.243,70.800003,167
140,Shantoshi nagar (Shyamji Krushna Varma Township),300,Aangan residency,190,22.233299,70.790398,34
141,Marwadi College,1121,Kothariya Gam,1016,22.23411,70.817619,128
142,Parapipaliya patiya,1219,Ramvan,1195,22.263145,70.831894,117
143,Saurashtra University,1205,Pradhyuman Park,1483,22.29911,70.839172,146
144,Shapar Veraval,0,Santiniketan Avenue(Raiya Gaam),244,22.308201,70.751099,26
145,Trikon baug,21,Saurashtra University,121,22.290501,70.743698,21
146,Gondal Chowk (RMTS),1310,Arpit eng. Collage,1515,22.435471,70.781578,153
