route_id,time_category,counts,counts_average,time_category_duration,frequency,route_no
153,non_peak_3,5,5,180,36,R88UP
153,peak_1,8,8,240,30,R88UP
153,peak_2,8,8,240,30,R88UP
154,non_peak_1,4,4,480,120,R89DOWN
154,non_peak_2,10,10,300,30,R89DOWN
154,non_peak_3,5,5,180,36,R89DOWN
154,peak_1,8,8,240,30,R89DOWN
154,peak_2,8,8,240,30,R89DOWN
155,non_peak_1,4,4,480,120,R89UP
155,non_peak_2,10,10,300,30,R89UP
155,non_peak_3,5,5,180,36,R89UP
155,peak_1,8,8,240,30,R89UP
155,peak_2,8,8,240,30,R89UP
156,non_peak_1,4,4,480,120,R90DOWN
156,non_peak_2,10,10,300,30,R90DOWN
156,non_peak_3,5,5,180,36,R90DOWN
156,peak_1,8,8,240,30,R90DOWN
156,peak_2,8,8,240,30,R90DOWN
157,non_peak_1,4,4,480,120,R90UP
157,non_peak_2,10,10,300,30,R90UP
157,non_peak_3,5,5,180,36,R90UP
157,peak_1,8,8,240,30,R90UP
157,peak_2,8,8,240,30,R90UP
158,non_peak_1,4,4,480,120,R91DOWN
158,non_peak_2,10,10,300,30,R91DOWN
158,non_peak_3,5,5,180,36,R91DOWN
158,peak_1,8,8,240,30,R91DOWN
158,peak_2,8,8,240,30,R91DOWN
159,non_peak_1,4,4,480,120,R91UP
159,non_peak_2,10,10,300,30,R91UP
159,non_peak_3,5,5,180,36,R91UP
159,peak_1,8,8,240,30,R91UP
159,peak_2,8,8,240,30,R91UP
160,non_peak_1,4,4,480,120,R92DOWN
160,non_peak_2,10,10,300,30,R92DOWN
160,non_peak_3,5,5,180,36,R92DOWN
160,peak_1,8,8,240,30,R92DOWN
160,peak_2,8,8,240,30,R92DOWN
161,non_peak_1,4,4,480,120,R92UP
161,non_peak_2,10,10,300,30,R92UP
161,non_peak_3,5,5,180,36,R92UP
161,peak_1,8,8,240,30,R92UP
161,peak_2,8,8,240,30,R92UP
162,non_peak_1,4,4,480,120,R93DOWN
162,non_peak_2,10,10,300,30,R93DOWN
162,non_peak_3,5,5,180,36,R93DOWN
162,peak_1,8,8,240,30,R93DOWN
162,peak_2,8,8,240,30,R93DOWN
163,non_peak_1,4,4,480,120,R93UP
163,non_peak_2,10,10,300,30,R93UP
163,non_peak_3,5,5,180,36,R93UP
163,peak_1,8,8,240,30,R93UP
163,peak_2,8,8,240,30,R93UP
164,non_peak_1,4,4,480,120,R94DOWN
164,non_peak_2,10,10,300,30,R94DOWN
164,non_peak_3,5,5,180,36,R94DOWN
164,peak_1,8,8,240,30,R94DOWN
164,peak_2,8,8,240,30,R94DOWN
165,non_peak_1,4,4,480,120,R94UP
165,non_peak_2,10,10,300,30,R94UP
165,non_peak_3,5,5,180,36,R94UP
165,peak_1,8,8,240,30,R94UP
165,peak_2,8,8,240,30,R94UP
166,non_peak_1,26,26,480,19,B1UP
166,non_peak_2,50,50,300,6,B1UP
166,non_peak_3,7,7,180,26,B1UP
166,peak_1,43,43,240,6,B1UP
166,peak_2,36,36,240,7,B1UP
167,non_peak_1,25,25,480,20,B1DOWN
167,non_peak_2,50,50,300,6,B1DOWN
167,non_peak_3,6,6,180,30,B1DOWN
167,peak_1,41,41,240,6,B1DOWN
167,peak_2,51,51,240,5,B1DOWN
