route_no,route_id,time_category,counts,counts_average,time_category_duration,frequency
114DOWN,43,peak_2,18,18,240,14
114UP,44,non_peak_1,6,6,480,80
114UP,44,non_peak_2,18,18,300,17
114UP,44,non_peak_3,5,5,180,36
114UP,44,peak_1,22,22,240,11
114UP,44,peak_2,22,22,240,11
115DOWN,45,non_peak_1,5,5,480,96
115DOWN,45,non_peak_2,13,13,300,24
115DOWN,45,non_peak_3,4,4,180,45
115DOWN,45,peak_1,9,9,240,27
115DOWN,45,peak_2,9,9,240,27
115UP,46,non_peak_1,9,9,480,54
115UP,46,non_peak_2,11,11,300,28
115UP,46,non_peak_3,1,1,180,180
115UP,46,peak_1,10,10,240,24
115UP,46,peak_2,9,9,240,27
117BDOWN,47,non_peak_1,2,2,480,240
117BDOWN,47,non_peak_2,4,4,300,75
117BDOWN,47,non_peak_3,2,2,180,90
117BDOWN,47,peak_1,4,4,240,60
117BDOWN,47,peak_2,4,4,240,60
117BUP,48,non_peak_1,3,3,480,160
117BUP,48,non_peak_2,4,4,300,75
117BUP,48,non_peak_3,1,1,180,180
117BUP,48,peak_1,4,4,240,60
117BUP,48,peak_2,4,4,240,60
117DDOWN,50,non_peak_1,1,1,480,480
117DDOWN,50,non_peak_2,3,3,300,100
117DDOWN,50,peak_1,2,2,240,120
117DDOWN,50,peak_2,2,2,240,120
117DOWN,49,non_peak_1,13,13,480,37
117DOWN,49,non_peak_2,23,23,300,14
117DOWN,49,non_peak_3,13,13,180,14
117DOWN,49,peak_1,17,17,240,15
117DOWN,49,peak_2,18,18,240,14
117DUP,51,non_peak_1,2,2,480,240
117DUP,51,non_peak_2,2,2,300,150
117DUP,51,peak_1,2,2,240,120
117DUP,51,peak_2,2,2,240,120
117UP,52,non_peak_1,14,14,480,35
117UP,52,non_peak_2,22,22,300,14
117UP,52,non_peak_3,10,10,180,18
117UP,52,peak_1,21,21,240,12
117UP,52,peak_2,17,17,240,15
118ADOWN,61,non_peak_1,1,1,480,480
118ADOWN,61,non_peak_2,2,2,300,150
118ADOWN,61,peak_1,3,3,240,80
118ADOWN,61,peak_2,2,2,240,120
118AUP,62,non_peak_1,1,1,480,480
118AUP,62,non_peak_2,1,1,300,300
118AUP,62,peak_1,4,4,240,60
118AUP,62,peak_2,2,2,240,120
118BDOWN,53,non_peak_1,3,3,480,160
118BDOWN,53,non_peak_2,5,5,300,60
118BDOWN,53,non_peak_3,1,1,180,180
118BDOWN,53,peak_1,4,4,240,60
118BDOWN,53,peak_2,5,5,240,48
118BUP,54,non_peak_1,3,3,480,160
118BUP,54,non_peak_2,5,5,300,60
118BUP,54,peak_1,5,5,240,48
118BUP,54,peak_2,5,5,240,48
118CDOWN,55,non_peak_1,1,1,480,480
118CDOWN,55,peak_1,1,1,240,240
118CDOWN,55,peak_2,1,1,240,240
118CUP,56,non_peak_1,1,1,480,480
118CUP,56,peak_1,1,1,240,240
118CUP,56,peak_2,1,1,240,240
118DDOWN,58,non_peak_1,1,1,480,480
118DDOWN,58,non_peak_2,4,4,300,75
118DDOWN,58,peak_1,2,2,240,120
118DDOWN,58,peak_2,3,3,240,80
118DOWN,57,non_peak_2,6,6,300,50
118DOWN,57,non_peak_3,4,4,180,45
118DOWN,57,peak_1,5,5,240,48
118DOWN,57,peak_2,4,4,240,60
118DUP,59,non_peak_1,1,1,480,480
118DUP,59,non_peak_2,4,4,300,75
118DUP,59,peak_1,3,3,240,80
118DUP,59,peak_2,2,2,240,120
118UP,60,non_peak_1,2,2,480,240
118UP,60,non_peak_2,6,6,300,50
118UP,60,non_peak_3,3,3,180,60
118UP,60,peak_1,4,4,240,60
118UP,60,peak_2,4,4,240,60
119ADOWN,65,non_peak_1,1,1,480,480
119ADOWN,65,non_peak_2,1,1,300,300
119ADOWN,65,peak_1,2,2,240,120
119ADOWN,65,peak_2,1,1,240,240
119AUP,66,non_peak_2,1,1,300,300
119AUP,66,non_peak_3,1,1,180,180
119AUP,66,peak_1,2,2,240,120
119AUP,66,peak_2,1,1,240,240
119DOWN,63,non_peak_1,7,7,480,69
119DOWN,63,non_peak_2,16,16,300,19
119DOWN,63,non_peak_3,7,7,180,26
119DOWN,63,peak_1,14,14,240,18
119DOWN,63,peak_2,14,14,240,18
119UP,64,non_peak_1,10,10,480,48
119UP,64,non_peak_2,17,17,300,18
119UP,64,non_peak_3,5,5,180,36
119UP,64,peak_1,12,12,240,20
119UP,64,peak_2,13,13,240,19
11ADOWN,67,non_peak_1,1,1,480,480
11ADOWN,67,non_peak_2,1,1,300,300
11ADOWN,67,peak_1,1,1,240,240
11ADOWN,67,peak_2,1,1,240,240
11AUP,68,non_peak_1,1,1,480,480
11AUP,68,non_peak_2,1,1,300,300
11AUP,68,peak_1,1,1,240,240
11AUP,68,peak_2,1,1,240,240
11BDOWN,26,peak_1,2,2,240,120
11BUP,27,non_peak_1,1,1,480,480
11BUP,27,peak_1,1,1,240,240
11CDOWN,69,non_peak_1,1,1,480,480
11CDOWN,69,non_peak_2,4,4,300,75
11CDOWN,69,peak_1,2,2,240,120
11CDOWN,69,peak_2,3,3,240,80
11CUP,70,non_peak_1,2,2,480,240
11CUP,70,non_peak_2,4,4,300,75
11CUP,70,peak_1,2,2,240,120
11CUP,70,peak_2,2,2,240,120
11DOWN,28,non_peak_1,4,4,480,120
11DOWN,28,non_peak_2,18,18,300,17
11DOWN,28,non_peak_3,8,8,180,23
11DOWN,28,peak_1,12,12,240,20
11DOWN,28,peak_2,12,12,240,20
