route_no,route_id,time_category,counts,counts_average,time_category_duration,frequency
148ABDOWN,159,non_peak_1,1,1,480,480
148ABDOWN,159,non_peak_2,8,8,300,38
148ABDOWN,159,peak_1,5,5,240,48
148ABDOWN,159,peak_2,2,2,240,120
148ABUP,160,non_peak_1,3,3,480,160
148ABUP,160,non_peak_2,8,8,300,38
148ABUP,160,peak_1,3,3,240,80
148ABUP,160,peak_2,2,2,240,120
148ADOWN,161,non_peak_1,4,4,480,120
148ADOWN,161,non_peak_2,7,7,300,43
148ADOWN,161,non_peak_3,3,3,180,60
148ADOWN,161,peak_1,5,5,240,48
148ADOWN,161,peak_2,5,5,240,48
148AUP,162,non_peak_1,4,4,480,120
148AUP,162,non_peak_2,7,7,300,43
148AUP,162,non_peak_3,3,3,180,60
148AUP,162,peak_1,5,5,240,48
148AUP,162,peak_2,5,5,240,48
148DOWN,157,non_peak_1,2,2,480,240
148DOWN,157,non_peak_2,15,15,300,20
148DOWN,157,non_peak_3,2,2,180,90
148DOWN,157,peak_1,12,12,240,20
148DOWN,157,peak_2,11,11,240,22
148UP,158,non_peak_1,7,7,480,69
148UP,158,non_peak_2,15,15,300,20
148UP,158,peak_1,12,12,240,20
148UP,158,peak_2,8,8,240,30
149DOWN,163,non_peak_1,12,12,480,40
149DOWN,163,non_peak_2,24,24,300,13
149DOWN,163,non_peak_3,10,10,180,18
149DOWN,163,peak_1,21,21,240,12
149DOWN,163,peak_2,20,20,240,12
149UP,164,non_peak_1,17,17,480,29
149UP,164,non_peak_2,25,25,300,12
149UP,164,non_peak_3,5,5,180,36
149UP,164,peak_1,22,22,240,11
149UP,164,peak_2,18,18,240,14
151DOWN,167,non_peak_1,7,7,480,69
151DOWN,167,non_peak_2,12,12,300,25
151DOWN,167,non_peak_3,6,6,180,30
151DOWN,167,peak_1,11,11,240,22
151DOWN,167,peak_2,12,12,240,20
151UP,168,non_peak_1,11,11,480,44
151UP,168,non_peak_2,11,11,300,28
151UP,168,non_peak_3,2,2,180,90
151UP,168,peak_1,11,11,240,22
151UP,168,peak_2,13,13,240,19
152ADOWN,169,non_peak_2,1,1,300,300
152ADOWN,169,non_peak_3,1,1,180,180
152AUP,170,non_peak_1,1,1,480,480
152AUP,170,non_peak_2,1,1,300,300
152BDOWN,171,non_peak_1,4,4,480,120
152BDOWN,171,non_peak_2,10,10,300,30
152BDOWN,171,non_peak_3,5,5,180,36
152BDOWN,171,peak_1,8,8,240,30
152BDOWN,171,peak_2,8,8,240,30
152BUP,172,non_peak_1,4,4,480,120
152BUP,172,non_peak_2,10,10,300,30
152BUP,172,non_peak_3,5,5,180,36
152BUP,172,peak_1,8,8,240,30
152BUP,172,peak_2,8,8,240,30
152CDOWN,173,non_peak_1,1,1,480,480
152CDOWN,173,non_peak_2,1,1,300,300
152CDOWN,173,peak_1,3,3,240,80
152CDOWN,173,peak_2,3,3,240,80
152CUP,174,non_peak_1,1,1,480,480
152CUP,174,non_peak_2,1,1,300,300
152CUP,174,non_peak_3,1,1,180,180
152CUP,174,peak_1,3,3,240,80
152CUP,174,peak_2,2,2,240,120
152DDOWN,177,non_peak_1,6,6,480,80
152DDOWN,177,non_peak_2,6,6,300,50
152DDOWN,177,peak_1,1,1,240,240
152DOWN,175,non_peak_1,2,2,480,240
152DOWN,175,non_peak_2,8,8,300,38
152DOWN,175,non_peak_3,2,2,180,90
152DOWN,175,peak_1,12,12,240,20
152DOWN,175,peak_2,9,9,240,27
152DUP,178,non_peak_2,6,6,300,50
152DUP,178,non_peak_3,5,5,180,36
152DUP,178,peak_2,2,2,240,120
152EUP,1053,non_peak_1,4,4,480,120
152EUP,1053,non_peak_2,10,10,300,30
152EUP,1053,non_peak_3,5,5,180,36
152EUP,1053,peak_1,8,8,240,30
152EUP,1053,peak_2,8,8,240,30
152UP,176,non_peak_1,5,5,480,96
152UP,176,non_peak_2,7,7,300,43
152UP,176,peak_1,13,13,240,19
152UP,176,peak_2,8,8,240,30
153DOWN,179,non_peak_1,2,2,480,240
153DOWN,179,non_peak_2,2,2,300,150
153DOWN,179,peak_1,2,2,240,120
153DOWN,179,peak_2,1,1,240,240
153UP,180,non_peak_1,1,1,480,480
153UP,180,non_peak_2,2,2,300,150
153UP,180,peak_1,2,2,240,120
153UP,180,peak_2,2,2,240,120
154DOWN,181,non_peak_1,8,8,480,60
154DOWN,181,non_peak_2,14,14,300,22
154DOWN,181,non_peak_3,4,4,180,45
154DOWN,181,peak_1,11,11,240,22
154DOWN,181,peak_2,11,11,240,22
154UP,182,non_peak_1,4,4,480,120
154UP,182,non_peak_2,13,13,300,24
154UP,182,non_peak_3,8,8,180,23
154UP,182,peak_1,12,12,240,20
154UP,182,peak_2,11,11,240,22
155DOWN,183,non_peak_1,8,8,480,60
155DOWN,183,non_peak_2,13,13,300,24
155DOWN,183,non_peak_3,3,3,180,60
155DOWN,183,peak_1,11,11,240,22
155DOWN,183,peak_2,11,11,240,22
155UP,184,non_peak_1,5,5,480,96
155UP,184,non_peak_2,13,13,300,24
155UP,184,non_peak_3,6,6,180,30
155UP,184,peak_1,10,10,240,24
155UP,184,peak_2,12,12,240,20
156ADOWN,187,non_peak_2,1,1,300,300
156ADOWN,187,peak_1,1,1,240,240
156AUP,188,non_peak_2,1,1,300,300
156AUP,188,peak_1,1,1,240,240
156DOWN,185,non_peak_2,2,2,300,150
156DOWN,185,peak_1,2,2,240,120
156DOWN,185,peak_2,2,2,240,120
156UP,186,non_peak_2,2,2,300,150
156UP,186,peak_1,2,2,240,120
156UP,186,peak_2,2,2,240,120
157DOWN,1054,non_peak_1,4,4,480,120
157DOWN,1054,non_peak_2,10,10,300,30
157DOWN,1054,non_peak_3,5,5,180,36
157DOWN,1054,peak_1,8,8,240,30
157DOWN,1054,peak_2,8,8,240,30
157UP,1055,non_peak_1,4,4,480,120
157UP,1055,non_peak_2,10,10,300,30
157UP,1055,non_peak_3,5,5,180,36
157UP,1055,peak_1,8,8,240,30
157UP,1055,peak_2,8,8,240,30
158ADOWN,189,non_peak_1,10,10,480,48
158ADOWN,189,non_peak_2,12,12,300,25
158ADOWN,189,peak_1,4,4,240,60
158ADOWN,189,peak_2,2,2,240,120
158AUP,190,non_peak_1,1,1,480,480
158AUP,190,non_peak_2,13,13,300,24
158AUP,190,non_peak_3,9,9,180,20
158AUP,190,peak_1,1,1,240,240
158AUP,190,peak_2,4,4,240,60
158BDOWN,191,non_peak_2,1,1,300,300
158BDOWN,191,non_peak_3,1,1,180,180
158BDOWN,191,peak_1,2,2,240,120
158BDOWN,191,peak_2,2,2,240,120
158BUP,192,non_peak_1,1,1,480,480
158BUP,192,non_peak_2,1,1,300,300
158BUP,192,peak_1,2,2,240,120
158BUP,192,peak_2,2,2,240,120
158CDOWN,195,non_peak_1,4,4,480,120
158CDOWN,195,non_peak_2,10,10,300,30
158CDOWN,195,non_peak_3,5,5,180,36
158CDOWN,195,peak_1,8,8,240,30
158CDOWN,195,peak_2,8,8,240,30
158CUP,196,non_peak_1,4,4,480,120
158CUP,196,non_peak_2,10,10,300,30
158CUP,196,non_peak_3,5,5,180,36
158CUP,196,peak_1,8,8,240,30
158CUP,196,peak_2,8,8,240,30
158DOWN,193,non_peak_1,3,3,480,160
158DOWN,193,non_peak_2,14,14,300,22
158DOWN,193,non_peak_3,6,6,180,30
158DOWN,193,peak_1,17,17,240,15
158DOWN,193,peak_2,17,17,240,15
158UP,194,non_peak_1,5,5,480,96
158UP,194,non_peak_2,9,9,300,34
158UP,194,peak_1,23,23,240,11
158UP,194,peak_2,20,20,240,12
159ADOWN,197,non_peak_1,2,2,480,240
159AUP,198,non_peak_1,2,2,480,240
159BDOWN,201,non_peak_2,1,1,300,300
159BDOWN,201,peak_1,2,2,240,120
159BDOWN,201,peak_2,1,1,240,240
159BUP,202,non_peak_1,1,1,480,480
159BUP,202,non_peak_2,2,2,300,150
159BUP,202,peak_2,1,1,240,240
159CDOWN,203,non_peak_1,1,1,480,480
159CDOWN,203,peak_1,1,1,240,240
159CUP,204,non_peak_1,1,1,480,480
159CUP,204,peak_1,1,1,240,240
159DOWN,199,non_peak_1,9,9,480,54
159DOWN,199,non_peak_2,22,22,300,14
159DOWN,199,non_peak_3,13,13,180,14
159DOWN,199,peak_1,15,15,240,16
159DOWN,199,peak_2,14,14,240,18
159UP,200,non_peak_1,14,14,480,35
159UP,200,non_peak_2,21,21,300,15
159UP,200,non_peak_3,3,3,180,60
159UP,200,peak_1,18,18,240,14
159UP,200,peak_2,18,18,240,14
15DOWN,165,non_peak_1,2,2,480,240
15DOWN,165,non_peak_2,16,16,300,19
15DOWN,165,non_peak_3,4,4,180,45
15DOWN,165,peak_1,14,14,240,18
15DOWN,165,peak_2,14,14,240,18
15UP,166,non_peak_1,8,8,480,60
15UP,166,non_peak_2,15,15,300,20
15UP,166,non_peak_3,1,1,180,180
15UP,166,peak_1,15,15,240,16
15UP,166,peak_2,11,11,240,22
160DOWN,205,non_peak_1,2,2,480,240
160DOWN,205,non_peak_2,7,7,300,43
160DOWN,205,non_peak_3,2,2,180,90
160DOWN,205,peak_1,5,5,240,48
160DOWN,205,peak_2,4,4,240,60
160UP,206,non_peak_1,3,3,480,160
160UP,206,non_peak_2,6,6,300,50
160UP,206,peak_1,6,6,240,40
160UP,206,peak_2,5,5,240,48
161ADOWN,209,peak_1,2,2,240,120
161ADOWN,209,peak_2,2,2,240,120
161AUP,210,non_peak_1,2,2,480,240
161AUP,210,non_peak_2,2,2,300,150
161BDOWN,211,non_peak_1,1,1,480,480
161BDOWN,211,non_peak_2,1,1,300,300
161BDOWN,211,peak_1,3,3,240,80
161BDOWN,211,peak_2,3,3,240,80
161BUP,212,peak_1,4,4,240,60
161BUP,212,peak_2,4,4,240,60
161CDOWN,1056,non_peak_1,4,4,480,120
161CDOWN,1056,non_peak_2,10,10,300,30
161CDOWN,1056,non_peak_3,5,5,180,36
161CDOWN,1056,peak_1,8,8,240,30
161CDOWN,1056,peak_2,8,8,240,30
161CUP,1057,non_peak_1,4,4,480,120
161CUP,1057,non_peak_2,10,10,300,30
161CUP,1057,non_peak_3,5,5,180,36
161CUP,1057,peak_1,8,8,240,30
161CUP,1057,peak_2,8,8,240,30
161DDOWN,1058,non_peak_1,4,4,480,120
161DDOWN,1058,non_peak_2,10,10,300,30
161DDOWN,1058,non_peak_3,5,5,180,36
161DDOWN,1058,peak_1,8,8,240,30
161DDOWN,1058,peak_2,8,8,240,30
161DOWN,207,non_peak_1,2,2,480,240
161DOWN,207,non_peak_2,8,8,300,38
161DOWN,207,non_peak_3,3,3,180,60
161DOWN,207,peak_1,7,7,240,35
161DOWN,207,peak_2,7,7,240,35
161DUP,1059,non_peak_1,4,4,480,120
161DUP,1059,non_peak_2,10,10,300,30
161DUP,1059,non_peak_3,5,5,180,36
161DUP,1059,peak_1,8,8,240,30
161DUP,1059,peak_2,8,8,240,30
161UP,208,non_peak_1,5,5,480,96
161UP,208,non_peak_2,9,9,300,34
161UP,208,peak_1,6,6,240,40
161UP,208,peak_2,7,7,240,35
162DOWN,213,non_peak_1,1,1,480,480
162DOWN,213,non_peak_2,1,1,300,300
162DOWN,213,peak_1,1,1,240,240
162UP,214,non_peak_2,1,1,300,300
162UP,214,peak_1,1,1,240,240
162UP,214,peak_2,1,1,240,240
163ADOWN,215,non_peak_2,1,1,300,300
163ADOWN,215,non_peak_3,2,2,180,90
163AUP,216,non_peak_1,2,2,480,240
163AUP,216,non_peak_2,2,2,300,150
163DOWN,217,non_peak_1,5,5,480,96
163DOWN,217,non_peak_2,10,10,300,30
163DOWN,217,non_peak_3,6,6,180,30
163DOWN,217,peak_1,11,11,240,22
163DOWN,217,peak_2,10,10,240,24
163UP,218,non_peak_1,8,8,480,60
163UP,218,non_peak_2,11,11,300,28
163UP,218,non_peak_3,4,4,180,45
163UP,218,peak_1,10,10,240,24
163UP,218,peak_2,9,9,240,27
164ADOWN,221,non_peak_1,1,1,480,480
164ADOWN,221,non_peak_2,1,1,300,300
164ADOWN,221,peak_1,2,2,240,120
164AUP,222,non_peak_2,1,1,300,300
164AUP,222,peak_1,2,2,240,120
164AUP,222,peak_2,1,1,240,240
164DOWN,219,non_peak_2,1,1,300,300
164DOWN,219,peak_1,2,2,240,120
164DOWN,219,peak_2,2,2,240,120
164UP,220,non_peak_1,1,1,480,480
164UP,220,non_peak_2,1,1,300,300
164UP,220,peak_1,1,1,240,240
164UP,220,peak_2,2,2,240,120
165DOWN,223,non_peak_1,8,8,480,60
165DOWN,223,non_peak_2,21,21,300,15
165DOWN,223,non_peak_3,9,9,180,20
165DOWN,223,peak_1,17,17,240,15
165DOWN,223,peak_2,19,19,240,13
165UP,224,non_peak_1,11,11,480,44
165UP,224,non_peak_2,21,21,300,15
165UP,224,non_peak_3,3,3,180,60
165UP,224,peak_1,20,20,240,12
165UP,224,peak_2,18,18,240,14
166ADOWN,227,non_peak_1,1,1,480,480
166ADOWN,227,peak_1,1,1,240,240
166AUP,228,peak_2,1,1,240,240
166BDOWN,229,non_peak_2,1,1,300,300
166BUP,230,non_peak_1,1,1,480,480
166BUP,230,non_peak_2,1,1,300,300
166CDOWN,231,peak_2,1,1,240,240
166CUP,232,non_peak_1,1,1,480,480
166CUP,232,peak_1,1,1,240,240
166DOWN,225,non_peak_1,4,4,480,120
166DOWN,225,non_peak_2,12,12,300,25
166DOWN,225,non_peak_3,6,6,180,30
166DOWN,225,peak_1,11,11,240,22
166DOWN,225,peak_2,10,10,240,24
166UP,226,non_peak_1,6,6,480,80
166UP,226,non_peak_2,12,12,300,25
166UP,226,non_peak_3,4,4,180,45
166UP,226,peak_1,10,10,240,24
166UP,226,peak_2,10,10,240,24
167ADOWN,1060,non_peak_1,4,4,480,120
167ADOWN,1060,non_peak_2,10,10,300,30
167ADOWN,1060,non_peak_3,5,5,180,36
167ADOWN,1060,peak_1,8,8,240,30
167ADOWN,1060,peak_2,8,8,240,30
167AUP,1061,non_peak_1,4,4,480,120
167AUP,1061,non_peak_2,10,10,300,30
167AUP,1061,non_peak_3,5,5,180,36
167AUP,1061,peak_1,8,8,240,30
167AUP,1061,peak_2,8,8,240,30
167DOWN,233,non_peak_1,12,12,480,40
167DOWN,233,non_peak_2,25,25,300,12
167DOWN,233,non_peak_3,16,16,180,12
167DOWN,233,peak_1,24,24,240,10
167DOWN,233,peak_2,25,25,240,10
167MDOWN,1062,non_peak_2,1,1,300,300
167MDOWN,1062,peak_1,2,2,240,120
167MDOWN,1062,peak_2,2,2,240,120
167MUP,1063,non_peak_2,2,2,300,150
167MUP,1063,peak_1,2,2,240,120
167MUP,1063,peak_2,1,1,240,240
167UP,234,non_peak_1,19,19,480,26
167UP,234,non_peak_2,27,27,300,12
167UP,234,non_peak_3,12,12,180,15
167UP,234,peak_1,22,22,240,11
167UP,234,peak_2,22,22,240,11
168DOWN,235,non_peak_1,4,4,480,120
168DOWN,235,non_peak_2,15,15,300,20
168DOWN,235,non_peak_3,8,8,180,23
168DOWN,235,peak_1,13,13,240,19
168DOWN,235,peak_2,14,14,240,18
168UP,236,non_peak_1,8,8,480,60
168UP,236,non_peak_2,14,14,300,22
168UP,236,non_peak_3,5,5,180,36
168UP,236,peak_1,13,13,240,19
168UP,236,peak_2,11,11,240,22
169DOWN,237,non_peak_1,5,5,480,96
169DOWN,237,non_peak_2,14,14,300,22
169DOWN,237,non_peak_3,8,8,180,23
169DOWN,237,peak_1,13,13,240,19
169DOWN,237,peak_2,13,13,240,19
169MDOWN,239,non_peak_2,2,2,300,150
169MDOWN,239,peak_1,2,2,240,120
169MDOWN,239,peak_2,1,1,240,240
169MUP,240,non_peak_1,1,1,480,480
169MUP,240,non_peak_2,1,1,300,300
169MUP,240,peak_1,2,2,240,120
169MUP,240,peak_2,1,1,240,240
169UP,238,non_peak_1,8,8,480,60
169UP,238,non_peak_2,15,15,300,20
169UP,238,non_peak_3,5,5,180,36
169UP,238,peak_1,13,13,240,19
169UP,238,peak_2,12,12,240,20
170ADOWN,243,non_peak_1,2,2,480,240
170ADOWN,243,non_peak_2,2,2,300,150
170ADOWN,243,non_peak_3,1,1,180,180
170ADOWN,243,peak_1,2,2,240,120
170ADOWN,243,peak_2,2,2,240,120
170AUP,244,non_peak_1,2,2,480,240
170AUP,244,non_peak_2,2,2,300,150
170AUP,244,non_peak_3,1,1,180,180
170AUP,244,peak_1,2,2,240,120
170AUP,244,peak_2,2,2,240,120
170BDOWN,245,non_peak_1,1,1,480,480
170BDOWN,245,non_peak_2,2,2,300,150
170BDOWN,245,non_peak_3,1,1,180,180
170BDOWN,245,peak_1,2,2,240,120
170BDOWN,245,peak_2,1,1,240,240
170BUP,246,non_peak_1,1,1,480,480
170BUP,246,non_peak_2,2,2,300,150
170BUP,246,peak_1,2,2,240,120
170BUP,246,peak_2,2,2,240,120
170EDOWN,248,peak_1,2,2,240,120
170EDOWN,248,peak_2,2,2,240,120
170EUP,249,non_peak_1,1,1,480,480
170EUP,249,peak_1,1,1,240,240
170EUP,249,peak_2,2,2,240,120
170MRING,250,non_peak_2,2,2,300,150
170MRING,250,peak_1,3,3,240,80
170MRING,250,peak_2,1,1,240,240
170RING,247,non_peak_1,16,16,480,30
170RING,247,non_peak_2,25,25,300,12
170RING,247,non_peak_3,8,8,180,23
170RING,247,peak_1,19,19,240,13
170RING,247,peak_2,17,17,240,15
172DOWN,251,non_peak_1,1,1,480,480
172DOWN,251,non_peak_2,2,2,300,150
172DOWN,251,non_peak_3,1,1,180,180
172DOWN,251,peak_1,1,1,240,240
172DOWN,251,peak_2,1,1,240,240
172UP,252,non_peak_1,1,1,480,480
172UP,252,non_peak_2,2,2,300,150
172UP,252,peak_1,2,2,240,120
172UP,252,peak_2,1,1,240,240
174DOWN,253,non_peak_1,5,5,480,96
174DOWN,253,non_peak_2,13,13,300,24
174DOWN,253,non_peak_3,5,5,180,36
174DOWN,253,peak_1,9,9,240,27
174DOWN,253,peak_2,8,8,240,30
174UP,254,non_peak_1,8,8,480,60
174UP,254,non_peak_2,12,12,300,25
174UP,254,non_peak_3,1,1,180,180
174UP,254,peak_1,10,10,240,24
174UP,254,peak_2,9,9,240,27
175ADOWN,255,non_peak_1,1,1,480,480
175ADOWN,255,peak_1,1,1,240,240
175AUP,256,peak_1,1,1,240,240
175AUP,256,peak_2,1,1,240,240
175DOWN,257,non_peak_1,1,1,480,480
175DOWN,257,non_peak_2,1,1,300,300
175DOWN,257,peak_2,1,1,240,240
175UP,258,non_peak_1,1,1,480,480
175UP,258,non_peak_2,1,1,300,300
175UP,258,peak_1,1,1,240,240
177ADOWN,259,non_peak_1,1,1,480,480
177ADOWN,259,non_peak_2,2,2,300,150
177ADOWN,259,peak_1,2,2,240,120
177ADOWN,259,peak_2,1,1,240,240
177AUP,260,non_peak_1,2,2,480,240
177AUP,260,non_peak_2,2,2,300,150
177AUP,260,peak_1,1,1,240,240
177AUP,260,peak_2,1,1,240,240
177DOWN,261,non_peak_1,4,4,480,120
177DOWN,261,non_peak_2,6,6,300,50
177DOWN,261,non_peak_3,3,3,180,60
177DOWN,261,peak_1,7,7,240,35
177DOWN,261,peak_2,8,8,240,30
177UP,262,non_peak_1,5,5,480,96
177UP,262,non_peak_2,7,7,300,43
177UP,262,non_peak_3,2,2,180,90
177UP,262,peak_1,7,7,240,35
177UP,262,peak_2,7,7,240,35
179DOWN,263,non_peak_1,1,1,480,480
179DOWN,263,non_peak_2,2,2,300,150
179DOWN,263,non_peak_3,1,1,180,180
179DOWN,263,peak_1,1,1,240,240
179DOWN,263,peak_2,1,1,240,240
179UP,264,non_peak_1,2,2,480,240
179UP,264,non_peak_2,1,1,300,300
179UP,264,peak_1,1,1,240,240
179UP,264,peak_2,2,2,240,120
17ADOWN,1012,non_peak_1,4,4,480,120
17ADOWN,1012,non_peak_2,10,10,300,30
17ADOWN,1012,non_peak_3,5,5,180,36
17ADOWN,1012,peak_1,8,8,240,30
17ADOWN,1012,peak_2,8,8,240,30
17AUP,1013,non_peak_1,4,4,480,120
17AUP,1013,non_peak_2,10,10,300,30
17AUP,1013,non_peak_3,5,5,180,36
17AUP,1013,peak_1,8,8,240,30
17AUP,1013,peak_2,8,8,240,30
17DOWN,241,non_peak_1,6,6,480,80
17DOWN,241,non_peak_2,19,19,300,16
17DOWN,241,non_peak_3,8,8,180,23
17DOWN,241,peak_1,17,17,240,15
17DOWN,241,peak_2,18,18,240,14
17UP,242,non_peak_1,10,10,480,48
17UP,242,non_peak_2,18,18,300,17
17UP,242,non_peak_3,4,4,180,45
17UP,242,peak_1,19,19,240,13
17UP,242,peak_2,17,17,240,15
180DOWN,265,non_peak_1,4,4,480,120
180DOWN,265,non_peak_2,11,11,300,28
180DOWN,265,peak_1,10,10,240,24
180DOWN,265,peak_2,8,8,240,30
180UP,266,non_peak_1,2,2,480,240
180UP,266,non_peak_2,10,10,300,30
180UP,266,non_peak_3,2,2,180,90
180UP,266,peak_1,10,10,240,24
180UP,266,peak_2,9,9,240,27
181ADOWN,267,non_peak_1,1,1,480,480
181ADOWN,267,non_peak_2,2,2,300,150
181ADOWN,267,peak_1,2,2,240,120
181ADOWN,267,peak_2,2,2,240,120
181AUP,268,non_peak_1,2,2,480,240
181AUP,268,non_peak_2,3,3,300,100
181AUP,268,peak_1,1,1,240,240
181AUP,268,peak_2,1,1,240,240
181DOWN,269,non_peak_1,1,1,480,480
181DOWN,269,non_peak_2,2,2,300,150
181DOWN,269,non_peak_3,1,1,180,180
181DOWN,269,peak_1,2,2,240,120
181DOWN,269,peak_2,2,2,240,120
181UP,270,non_peak_1,1,1,480,480
181UP,270,non_peak_2,2,2,300,150
181UP,270,non_peak_3,1,1,180,180
181UP,270,peak_1,2,2,240,120
181UP,270,peak_2,2,2,240,120
182DOWN,271,peak_1,2,2,240,120
182DOWN,271,peak_2,1,1,240,240
182UP,272,non_peak_2,1,1,300,300
182UP,272,peak_1,1,1,240,240
182UP,272,peak_2,1,1,240,240
183ADOWN,275,non_peak_1,1,1,480,480
183ADOWN,275,non_peak_2,1,1,300,300
183ADOWN,275,peak_1,2,2,240,120
183ADOWN,275,peak_2,2,2,240,120
183AUP,276,non_peak_1,1,1,480,480
183AUP,276,non_peak_2,1,1,300,300
183AUP,276,peak_1,2,2,240,120
183AUP,276,peak_2,2,2,240,120
183BDOWN,277,non_peak_2,1,1,300,300
183BDOWN,277,non_peak_3,1,1,180,180
183BUP,278,non_peak_1,1,1,480,480
183BUP,278,non_peak_2,1,1,300,300
183DOWN,273,non_peak_1,3,3,480,160
183DOWN,273,non_peak_2,5,5,300,60
183DOWN,273,non_peak_3,1,1,180,180
183DOWN,273,peak_1,3,3,240,80
183DOWN,273,peak_2,4,4,240,60
183UP,274,non_peak_1,4,4,480,120
183UP,274,non_peak_2,5,5,300,60
183UP,274,peak_1,3,3,240,80
183UP,274,peak_2,4,4,240,60
184DOWN,279,non_peak_1,1,1,480,480
184DOWN,279,non_peak_2,2,2,300,150
184DOWN,279,peak_1,2,2,240,120
184DOWN,279,peak_2,3,3,240,80
184UP,280,non_peak_1,2,2,480,240
184UP,280,non_peak_2,2,2,300,150
184UP,280,peak_1,2,2,240,120
184UP,280,peak_2,2,2,240,120
185DOWN,281,non_peak_1,2,2,480,240
185DOWN,281,non_peak_2,5,5,300,60
185DOWN,281,non_peak_3,2,2,180,90
185DOWN,281,peak_1,4,4,240,60
185DOWN,281,peak_2,3,3,240,80
185UP,282,non_peak_1,3,3,480,160
185UP,282,non_peak_2,5,5,300,60
185UP,282,non_peak_3,1,1,180,180
185UP,282,peak_1,4,4,240,60
185UP,282,peak_2,3,3,240,80
186DOWN,283,non_peak_2,3,3,300,100
186DOWN,283,peak_1,4,4,240,60
186DOWN,283,peak_2,2,2,240,120
186UP,284,non_peak_1,1,1,480,480
186UP,284,non_peak_2,2,2,300,150
186UP,284,peak_1,4,4,240,60
186UP,284,peak_2,2,2,240,120
187DOWN,285,non_peak_1,3,3,480,160
187DOWN,285,non_peak_2,11,11,300,28
187DOWN,285,non_peak_3,2,2,180,90
187DOWN,285,peak_1,8,8,240,30
187DOWN,285,peak_2,8,8,240,30
187UP,286,non_peak_1,6,6,480,80
187UP,286,non_peak_2,11,11,300,28
187UP,286,non_peak_3,1,1,180,180
187UP,286,peak_1,8,8,240,30
187UP,286,peak_2,6,6,240,40
188DOWN,287,non_peak_1,2,2,480,240
188DOWN,287,non_peak_2,19,19,300,16
188DOWN,287,non_peak_3,3,3,180,60
188DOWN,287,peak_1,17,17,240,15
188DOWN,287,peak_2,15,15,240,16
188UP,288,non_peak_1,7,7,480,69
188UP,288,non_peak_2,17,17,300,18
188UP,288,peak_1,18,18,240,14
188UP,288,peak_2,14,14,240,18
189DOWN,289,non_peak_1,6,6,480,80
189DOWN,289,non_peak_2,17,17,300,18
189DOWN,289,non_peak_3,5,5,180,36
189DOWN,289,peak_1,18,18,240,14
189DOWN,289,peak_2,12,12,240,20
189UP,290,non_peak_1,9,9,480,54
189UP,290,non_peak_2,18,18,300,17
189UP,290,non_peak_3,3,3,180,60
189UP,290,peak_1,17,17,240,15
189UP,290,peak_2,11,11,240,22
190BDOWN,295,non_peak_1,1,1,480,480
190BDOWN,295,non_peak_2,3,3,300,100
190BDOWN,295,non_peak_3,1,1,180,180
190BDOWN,295,peak_1,3,3,240,80
190BDOWN,295,peak_2,2,2,240,120
190BUP,296,non_peak_1,2,2,480,240
190BUP,296,non_peak_2,3,3,300,100
190BUP,296,peak_1,2,2,240,120
190BUP,296,peak_2,3,3,240,80
192DOWN,297,non_peak_1,1,1,480,480
192DOWN,297,non_peak_2,4,4,300,75
192DOWN,297,non_peak_3,1,1,180,180
192DOWN,297,peak_1,6,6,240,40
192DOWN,297,peak_2,4,4,240,60
192UP,298,non_peak_1,2,2,480,240
192UP,298,non_peak_2,5,5,300,60
192UP,298,non_peak_3,1,1,180,180
192UP,298,peak_1,5,5,240,48
192UP,298,peak_2,3,3,240,80
193ADOWN,299,non_peak_2,1,1,300,300
193ADOWN,299,peak_2,1,1,240,240
193AUP,300,non_peak_1,1,1,480,480
193AUP,300,non_peak_2,1,1,300,300
193DOWN,301,non_peak_1,1,1,480,480
193DOWN,301,non_peak_2,1,1,300,300
193DOWN,301,peak_1,2,2,240,120
193DOWN,301,peak_2,1,1,240,240
193UP,302,non_peak_2,2,2,300,150
193UP,302,peak_1,2,2,240,120
193UP,302,peak_2,1,1,240,240
195DOWN,303,non_peak_1,1,1,480,480
195DOWN,303,non_peak_2,4,4,300,75
195DOWN,303,non_peak_3,1,1,180,180
195DOWN,303,peak_1,6,6,240,40
195DOWN,303,peak_2,5,5,240,48
195UP,304,non_peak_1,2,2,480,240
195UP,304,non_peak_2,5,5,300,60
195UP,304,peak_1,5,5,240,48
195UP,304,peak_2,5,5,240,48
196DOWN,305,non_peak_2,2,2,300,150
196DOWN,305,peak_1,1,1,240,240
196DOWN,305,peak_2,1,1,240,240
196UP,306,non_peak_2,1,1,300,300
196UP,306,peak_1,2,2,240,120
196UP,306,peak_2,1,1,240,240
197DOWN,307,non_peak_1,1,1,480,480
197DOWN,307,non_peak_2,9,9,300,34
197DOWN,307,non_peak_3,1,1,180,180
197DOWN,307,peak_1,7,7,240,35
197DOWN,307,peak_2,7,7,240,35
197UP,308,non_peak_1,5,5,480,96
197UP,308,non_peak_2,8,8,300,38
197UP,308,peak_1,6,6,240,40
197UP,308,peak_2,5,5,240,48
198ADOWN,311,non_peak_1,4,4,480,120
198ADOWN,311,non_peak_2,10,10,300,30
198ADOWN,311,non_peak_3,5,5,180,36
198ADOWN,311,peak_1,8,8,240,30
198ADOWN,311,peak_2,8,8,240,30
198AUP,312,non_peak_1,4,4,480,120
198AUP,312,non_peak_2,10,10,300,30
198AUP,312,non_peak_3,5,5,180,36
