route_id,time_category,counts,counts_average,time_category_duration,frequency
50,peak_2,4,4,240,60
51,non_peak_1,2,2,480,240
51,non_peak_2,3,3,300,100
51,peak_1,2,2,240,120
51,peak_2,3,3,240,80
52,non_peak_1,1,1,480,480
52,non_peak_2,4,4,300,75
52,peak_1,4,4,240,60
52,peak_2,3,3,240,80
53,non_peak_1,1,1,480,480
53,non_peak_2,4,4,300,75
53,peak_1,4,4,240,60
53,peak_2,4,4,240,60
54,non_peak_1,2,2,480,240
54,non_peak_2,5,5,300,60
54,peak_1,6,6,240,40
54,peak_2,6,6,240,40
55,non_peak_1,4,4,480,120
55,non_peak_2,4,4,300,75
55,peak_1,6,6,240,40
55,peak_2,5,5,240,48
56,non_peak_1,1,1,480,480
56,non_peak_2,3,3,300,100
56,peak_1,3,3,240,80
56,peak_2,2,2,240,120
57,non_peak_1,1,1,480,480
57,non_peak_2,3,3,300,100
57,peak_1,3,3,240,80
57,peak_2,2,2,240,120
58,non_peak_1,2,2,480,240
58,non_peak_2,5,5,300,60
58,non_peak_3,1,1,180,180
58,peak_1,3,3,240,80
58,peak_2,2,2,240,120
59,non_peak_1,2,2,480,240
59,non_peak_2,5,5,300,60
59,non_peak_3,1,1,180,180
59,peak_1,3,3,240,80
59,peak_2,2,2,240,120
60,non_peak_1,1,1,480,480
60,non_peak_2,4,4,300,75
60,peak_1,3,3,240,80
60,peak_2,3,3,240,80
61,non_peak_1,1,1,480,480
61,non_peak_2,4,4,300,75
61,peak_1,3,3,240,80
61,peak_2,4,4,240,60
62,non_peak_1,2,2,480,240
62,non_peak_2,4,4,300,75
62,non_peak_3,1,1,180,180
62,peak_1,4,4,240,60
62,peak_2,4,4,240,60
63,non_peak_1,2,2,480,240
63,non_peak_2,1,1,300,300
63,non_peak_3,1,1,180,180
63,peak_1,4,4,240,60
63,peak_2,4,4,240,60
64,non_peak_1,2,2,480,240
64,non_peak_2,5,5,300,60
64,peak_1,6,6,240,40
64,peak_2,5,5,240,48
65,non_peak_1,2,2,480,240
65,non_peak_2,6,6,300,50
65,peak_1,5,5,240,48
65,peak_2,5,5,240,48
66,non_peak_1,1,1,480,480
66,non_peak_2,4,4,300,75
66,peak_1,4,4,240,60
66,peak_2,2,2,240,120
67,non_peak_1,1,1,480,480
67,non_peak_2,4,4,300,75
67,peak_1,4,4,240,60
67,peak_2,1,1,240,240
68,non_peak_2,1,1,300,300
68,peak_1,1,1,240,240
68,peak_2,2,2,240,120
69,non_peak_1,1,1,480,480
69,non_peak_2,3,3,300,100
69,peak_1,3,3,240,80
69,peak_2,1,1,240,240
70,non_peak_1,2,2,480,240
70,non_peak_2,3,3,300,100
70,peak_1,3,3,240,80
70,peak_2,2,2,240,120
71,non_peak_2,3,3,300,100
71,peak_1,4,4,240,60
71,peak_2,1,1,240,240
72,non_peak_1,2,2,480,240
72,non_peak_2,4,4,300,75
72,peak_1,4,4,240,60
72,peak_2,3,3,240,80
73,non_peak_2,4,4,300,75
73,peak_1,5,5,240,48
73,peak_2,2,2,240,120
74,non_peak_1,1,1,480,480
74,non_peak_2,3,3,300,100
74,peak_1,2,2,240,120
74,peak_2,2,2,240,120
75,non_peak_1,2,2,480,240
75,non_peak_2,2,2,300,150
75,peak_1,3,3,240,80
75,peak_2,1,1,240,240
76,non_peak_1,1,1,480,480
76,non_peak_2,3,3,300,100
76,peak_1,3,3,240,80
76,peak_2,3,3,240,80
77,non_peak_1,1,1,480,480
77,non_peak_2,3,3,300,100
77,peak_1,3,3,240,80
77,peak_2,3,3,240,80
78,non_peak_1,1,1,480,480
78,non_peak_2,3,3,300,100
78,peak_1,3,3,240,80
78,peak_2,2,2,240,120
79,non_peak_1,1,1,480,480
79,non_peak_2,3,3,300,100
79,peak_1,3,3,240,80
79,peak_2,2,2,240,120
80,non_peak_2,1,1,300,300
80,peak_2,2,2,240,120
81,non_peak_1,1,1,480,480
81,non_peak_2,3,3,300,100
81,peak_1,2,2,240,120
81,peak_2,1,1,240,240
82,non_peak_1,1,1,480,480
82,non_peak_2,2,2,300,150
82,peak_1,2,2,240,120
82,peak_2,1,1,240,240
83,non_peak_1,1,1,480,480
83,non_peak_2,3,3,300,100
83,peak_1,2,2,240,120
84,non_peak_1,2,2,480,240
84,non_peak_2,7,7,300,43
84,peak_1,6,6,240,40
84,peak_2,4,4,240,60
85,non_peak_1,3,3,480,160
85,non_peak_2,6,6,300,50
85,peak_1,6,6,240,40
85,peak_2,3,3,240,80
86,non_peak_2,2,2,300,150
86,peak_1,3,3,240,80
86,peak_2,2,2,240,120
87,non_peak_2,3,3,300,100
87,peak_1,3,3,240,80
87,peak_2,1,1,240,240
88,non_peak_2,3,3,300,100
88,peak_1,3,3,240,80
